LevelID,LevelName,PlayerLevel,EnemyLevel,WaveNum,WinCondition,EnemyConfig,EXPNum,CoinNum
关卡编号,关卡名称,玩家等级,敌人等级,波次,胜利条件,敌人阵容配置,获得经验,获得金币
1-1,初阵,1,1,1,全歼,W1:E2*1,80,80
1-2,毒触,1,1,2,全歼,W1:E5*1;W2:E3*1,85,85
1-3,爆破训练,2,2,2,全歼,W1:E4*1;W2:E4*2,85,85
1-4,剑客Preview,3,3,1,全歼(剑客hp归零会跑路),W1:特殊_剑客前瞻版*1,70,70
1-5,喧嚣,3,3,2,全歼,W1:E3*2;W2:E3*1+E1*1,60,60
1-6,狙击放大,3,3,2,全歼,W1:E2*1;W2:E2*2+E3*1,60,60
1-7,持久哨戒,3,4,1,存活:360行动值,W1:E3*1+E1*2,60,60
1-8,剑客Boss战,4,4,1,Boss战,W1:特殊_剑客完整版*1,150,150
2-1,余烬巡逻,4,4,2,全歼,W1:E2*1+E5*1;W2:E1*1+E5*1,70,70
2-2,毒盾回廊,4,4,2,全歼,W1:E5*1+E1*1;W2:E5*1+E3*1,70,70
2-3,DOT龙前瞻,4,4,1,全歼,W1:特殊_DOT龙前瞻版*1,110,110
2-4,爆燃残阵,5,5,2,全歼,W1:E4*1+E5*1;W2:E4*2,110,110
2-5,狙击哨线,5,5,3,全歼,W1:E2*1+E3*1;W2:E2*2;W3:E1*1+E2*2,120,120
2-6,直伤龙Preview,5,5,1,全歼,W1:特殊_直伤龙前瞻版*1,120,120
2-7,引爆走廊,5,5,2,限时全歼:360行动值,W1:E4*2;W2:E2*1+E4*1+E3*1,100,100
2-8,混沌龙Preview,6,6,1,全歼,W1:特殊_混沌龙前瞻版*1,140,140
2-9,混沌中继,6,6,3,全歼,W1:E3*2;W2:E3*1+E5*1+E1*1;W3:E2*1+E3*1,130,130
2-10,龙前消耗战,6,6,3,全歼,W1:E5*2;W2:E1*1+E2*1+E3*1;W3:E1*1+E4*2+E3*1,260,260
2-11,四压阵线,6,6,2,全歼,W1:E2*1+E3*1+E4*1;W2:E1*1+E2*1+E3*1+E4*1,140,140
2-12,三头龙Boss战,7,7,1,Boss战,W1:特殊_三头龙完整版*1,260,260
3-1,归途毒阵,7,7,2,全歼,W1:E5*2;W2:E5*2+E3*1,90,90
3-2,盾火夹击,7,7,2,全歼,W1:E1*1+E2*1+E4*1;W2:E1*2+E2*1,100,100
3-3,孤军守势,7,7,1,存活:540行动值,W1:E3*1+E5*1+E1*2+E4*1,110,110
3-4,炸弹海I,7,7,2,限时全歼:320行动值,W1:E4*2;W2:E4*3,120,120
3-5,盾阵突击,7,7,2,全歼,W1:E1*1+E2*2;W2:E1*2+E2*1+E3*1,120,120
3-6,西洋象棋Preview,8,8,1,全歼,W1:特殊_西洋象棋mini版*1,200,200
3-7,毒云风暴,8,8,2,全歼,W1:E5*1+E3*1;W2:E5*2+E3*1+E1*1,220,220
3-8,长线消耗I,8,8,3,全歼,W1:E5*2+E3*1;W2:E1*1+E2*1+E3*1+E5*1;W3:E1*1+E4*2+E2*1,240,240
3-9,车轮突击,8,8,3,全歼,W1:E2*2;W2:E1*1+E2*2+E3*1;W3:E2*1+E4*2,260,260
3-10,终章校验,8,9,3,全歼,W1:E1*1+E5*2+E3*1;W2:E2*1+E3*1+E4*2;W3:E1*1+E2*1+E3*1+E4*1,280,280
3-11,炸弹海II,9,9,3,限时全歼:600行动值,W1:E4*3;W2:E4*2+E3*1+E1*1;W3:E4*2+E2*1+E3*1,220,220
3-12,围杀,9,10,2,全歼,W1:E2*1+E5*1+E3*1;W2:E2*2+E5*1+E1*1,300,300
3-13,限时清场,9,10,2,限时全歼:420行动值,W1:E2*2+E4*1;W2:E2*1+E4*2+E3*1,230,230
3-14,长线消耗II,9,10,4,全歼,W1:E5*2+E3*1;W2:E1*1+E2*1+E5*1+E3*1;W3:E1*1+E4*2+E2*1;W4:E1*1+E2*1+E3*1+E4*1,230,230
3-15,西洋象棋Boss战,10,10,1,Boss战,W1:特殊_西洋象棋完整版*1,0,0
